Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-05-30,9428.0317289988,9426.1773813711,9595.4829766568,9334.9128323857
BTC,2020-05-31,9499.3218066352,9428.1896817777,9732.9439791453,9402.7427318702
BTC,2020-06-01,9605.8813673125,9499.3494731951,9614.1805852398,9394.2753873132
BTC,2020-06-02,9502.4764277655,9605.8521989569,10357.7891656244,9298.9209500344
BTC,2020-06-03,9582.5123236577,9502.4913421817,9646.3031040199,9406.9711871222
BTC,2020-06-04,9774.7700445819,9582.516270111,9875.6621271187,9472.2510484788
BTC,2020-06-05,9696.3303798377,9775.577864256,9860.2314469319,9619.6174589658
BTC,2020-06-06,9673.7985994038,9696.2829564323,9736.2711280708,9542.7733979468
BTC,2020-06-07,9730.8692713605,9674.2726781096,9804.4464866884,9392.8429259367
BTC,2020-06-08,9712.424048441,9729.7924880256,9803.5735159591,9652.3101139661
BTC,2020-06-09,9742.9215206941,9711.8493578661,9870.5193874417,9610.0243540348
BTC,2020-06-10,9882.9413329851,9742.922590141,9979.7155257569,9711.8595804282
BTC,2020-06-11,9318.650655528,9882.9452054768,9962.1803308167,9108.4730458288
BTC,2020-06-12,9463.389861928,9318.7196690082,9558.7706017956,9238.3891810973
BTC,2020-06-13,9400.1579884877,9463.2391573754,9492.8998835231,9359.8470466204
BTC,2020-06-14,9392.9444418848,9400.6845464485,9481.6974527721,9321.8776740692
BTC,2020-06-15,9424.8290690371,9392.9955654081,9447.8424119149,8910.1982654435
BTC,2020-06-16,9500.4315677464,9424.8339286176,9595.2229348834,9380.7460796455
BTC,2020-06-17,9379.5903990433,9500.4315677464,9557.4684199857,9240.6460560184
BTC,2020-06-18,9370.6885514256,9378.3685933826,9480.3744873948,9318.0008332923
BTC,2020-06-19,9282.4979840997,9370.3340294681,9427.1776609648,9236.6572719404
BTC,2020-06-20,9311.2716028966,9282.5635738968,9362.7345144397,9178.3822794606
BTC,2020-06-21,9318.3082540679,9311.1731522441,9412.6485046188,9299.5715817455
BTC,2020-06-22,9607.8878464417,9318.2631582481,9622.9807808857,9272.796157314
BTC,2020-06-23,9652.8634344288,9607.5582658647,9775.102839222,9576.910847921
BTC,2020-06-24,9314.7322984032,9652.8445762494,9678.9860797608,9206.9588946905
BTC,2020-06-25,9279.4031565047,9314.5064875237,9325.8103258537,9002.3744683154
BTC,2020-06-26,9203.1646829075,9279.648558567,9333.3460568584,9046.2313649675
BTC,2020-06-27,8969.7744101143,9203.7893844984,9212.5046627778,8843.3177021008
BTC,2020-06-28,9104.5834754729,8969.566030682,9190.1174784507,8941.8003467598
BTC,2020-06-29,9074.2122171425,9104.6148555743,9140.9202380505,9061.0344930035
